title,views,likes
"Gaza before 7th Oct,, now only the quiet of the rubble persists💔#gaza #after #war #north_gaza #",19110139,294318
My wish for 2024 🤲📿❤️ Save Gaza 🕊️🇵🇸,15404890,773912
Watch: High-Rise Building in Gaza Crumbles After Israeli Airstrike | WSJ News,11532103,53091
Gaza girl cries seeing journalist who resembles her father | AJ #shorts,7822288,394708
This is Gaza 2024 #gaza #israel #palestine,7630598,194749
Humanitarian aid parachuted into Gaza,6699406,139109
Palestinian girl cries in pain after being displaced in north Gaza | AJ #shorts,6045213,255578
"Israel-Gaza: 400,000 residents ordered to leave Khan Younis",2701325,21439
Animated: Nowhere to run for Palestinians in Gaza,2671800,36279
100% VYBZ KARTEL DANCEHALL MIX 2024| | 100% Gaza  | Set Free Mix |  Mix By Live LinQ,2627573,29966
